Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
3/10/03,833.27,98,21.32,0.005284175,-0.02,0.055445545
3/17/03,895.79,94.21,22.79,0.075029702,-0.038673469,0.068949343
3/24/03,863.5,94.54,21.16,-0.036046395,0.003502813,-0.071522598
3/31/03,878.85,95.82,21.52,0.017776491,0.013539243,0.017013233
4/7/03,868.3,96.69,20.75,-0.012004324,0.009079524,-0.035780669
4/14/03,893.58,98.44,21.87,0.029114361,0.01809908,0.053975904
4/21/03,898.81,95.78,21.63,0.005852862,-0.027021536,-0.010973937
4/28/03,930.08,100.56,22.38,0.034790445,0.049906035,0.034674064
5/5/03,933.41,104.04,22.6,0.003580337,0.034606205,0.009830206
5/12/03,944.3,108.82,21.93,0.011666899,0.045943868,-0.029646018
5/19/03,933.22,107.66,20.77,-0.011733559,-0.010659805,-0.052895577
5/27/03,963.59,108.27,21.1,0.032543237,0.005665986,0.0158883
6/2/03,987.76,112.54,20.3,0.025083282,0.039438441,-0.037914692
6/9/03,988.61,111.58,21.14,0.000860533,-0.0085303,0.04137931
6/16/03,995.69,109.65,22.58,0.00716157,-0.017297007,0.068117313
6/23/03,976.22,109.71,21.98,-0.019554279,0.000547196,-0.026572188
6/30/03,985.7,113.14,22.73,0.009710926,0.031264242,0.034121929
7/7/03,998.14,119.55,23.42,0.012620473,0.056655471,0.030356357
7/14/03,993.32,123.56,23.06,-0.004828982,0.033542451,-0.015371477
7/21/03,998.68,123.61,23.06,0.005396046,0.000404662,0
7/28/03,980.15,125.84,22.44,-0.018554492,0.018040612,-0.026886383
8/4/03,977.59,125.81,21.94,-0.002611845,-0.000238398,-0.02228164
8/11/03,990.67,125.6,21.9,0.013379842,-0.001669184,-0.001823154
8/18/03,993.06,131.88,22.48,0.002412509,0.05,0.026484018
8/25/03,1008.01,139.06,22.74,0.015054478,0.054443433,0.011565836
9/2/03,1021.39,143.55,24.34,0.013273678,0.032288221,0.070360598
9/8/03,1018.63,143.54,24.3,-0.0027022,-6.96621E-05,-0.001643385
9/15/03,1036.3,142.8,25.69,0.017346829,-0.005155357,0.057201646
9/22/03,996.85,135.37,24.17,-0.038068127,-0.052030812,-0.059166991
9/29/03,1029.85,143.26,24.94,0.033104278,0.058284701,0.031857675
10/6/03,1038.06,143.33,24.79,0.007972035,0.000488622,-0.006014435
10/13/03,1039.32,143.24,24.95,0.001213803,-0.000627922,0.006454215
10/20/03,1028.91,141.79,22.95,-0.010016164,-0.010122871,-0.080160321
10/27/03,1050.71,143.4,22.54,0.02118747,0.011354821,-0.017864924
11/3/03,1053.21,145.49,22.51,0.002379343,0.014574616,-0.001330967
11/10/03,1050.35,143.79,21.99,-0.002715508,-0.011684652,-0.023100844
11/17/03,1035.28,144.55,21.65,-0.014347598,0.005285486,-0.015461573
11/24/03,1058.2,150.02,22.17,0.022138938,0.037841577,0.024018476
12/1/03,1061.5,148.53,22.4,0.003118503,-0.009932009,0.01037438
12/8/03,1074.14,151.02,22.98,0.011907678,0.01676429,0.025892857
12/15/03,1088.66,149.53,23.59,0.013517791,-0.009866243,0.026544822
12/22/03,1095.89,147.88,23.46,0.006641192,-0.011034575,-0.00551081
12/29/03,1108.48,154.51,23.67,0.011488379,0.044833649,0.008951407
1/5/04,1121.86,157.5,23.85,0.012070583,0.019351498,0.007604563
1/12/04,1139.83,154.21,23.98,0.016018041,-0.020888889,0.005450734
1/20/04,1141.55,156.32,24.56,0.001508997,0.013682641,0.024186822
1/26/04,1131.13,151.6,23.84,-0.00912794,-0.030194473,-0.029315961
2/2/04,1142.76,150.62,23.35,0.010281754,-0.00646438,-0.020553691
2/9/04,1145.81,150.52,22.93,0.002668977,-0.000663922,-0.017987152
2/17/04,1144.11,153.01,22.91,-0.001483667,0.016542652,-0.00087222
2/23/04,1144.94,153.76,22.88,0.000725455,0.00490164,-0.001309472
3/1/04,1156.86,151.52,22.72,0.010411026,-0.014568158,-0.006993007
3/8/04,1120.57,150.02,21.89,-0.031369396,-0.009899683,-0.03653169
3/15/04,1109.78,149.34,21.24,-0.009629028,-0.004532729,-0.029693924
3/22/04,1108.06,150.52,21.58,-0.001549857,0.007901433,0.016007533
3/29/04,1141.81,150.37,22.29,0.030458639,-0.000996545,0.032900834
4/5/04,1139.32,156.22,21.97,-0.002180748,0.038904037,-0.014356214
4/12/04,1134.61,151.92,21.7,-0.004134045,-0.027525285,-0.012289486
4/19/04,1140.6,149.53,23.75,0.005279347,-0.015731964,0.094470046
4/26/04,1107.3,144.84,22.53,-0.02919516,-0.031364943,-0.051368421
5/3/04,1098.7,142.3,22.23,-0.00776664,-0.017536592,-0.013315579
5/10/04,1095.7,139.56,22.3,-0.0027305,-0.019255095,0.003148898
5/17/04,1093.56,141.77,22.33,-0.001953089,0.015835483,0.001345291
5/24/04,1120.68,145.69,22.62,0.024799737,0.02765042,0.012987013
6/1/04,1122.5,146.07,22.38,0.001624014,0.002608278,-0.01061008
